meanmax.size,meanmean.size,alone,model
2.06666666666667,1.36222222222222,46,equal
2.26666666666667,1.39333333333333,43,equal
2.26666666666667,1.42777777777778,39,equal
2.13333333333333,1.43222222222222,38,equal
2,1.32111111111111,48,equal
2.06666666666667,1.34666666666667,45,equal
2.06666666666667,1.32333333333333,46,equal
2,1.39666666666667,40,equal
2.06666666666667,1.36666666666667,43,equal
2.13333333333333,1.39222222222222,42,equal
1.93333333333333,1.28777777777778,50,equal
2.06666666666667,1.27730158730159,52,equal
2.13333333333333,1.44222222222222,37,equal
2.2,1.41111111111111,41,equal
2.26666666666667,1.46222222222222,46,equal
2.13333333333333,1.40777777777778,40,equal
2.13333333333333,1.28333333333333,52,equal
2.13333333333333,1.32777777777778,48,equal
2.33333333333333,1.54888888888889,35,equal
2.06666666666667,1.36222222222222,43,equal
2.13333333333333,1.36888888888889,54,equal
1.93333333333333,1.26888888888889,51,equal
2,1.34444444444444,45,equal
2.2,1.39444444444444,44,equal
1.93333333333333,1.29444444444444,47,equal
2.13333333333333,1.39666666666667,42,equal
2.13333333333333,1.51444444444444,35,equal
2.33333333333333,1.46666666666667,38,equal
2,1.36444444444444,46,equal
2,1.34,46,equal
2.2,1.35333333333333,46,equal
2.2,1.44333333333333,37,equal
2.2,1.50111111111111,37,equal
2.06666666666667,1.43952380952381,36,equal
2.26666666666667,1.38333333333333,47,equal
2.13333333333333,1.46666666666667,42,equal
2.46666666666667,1.54,42,equal
2.26666666666667,1.46777777777778,42,equal
2.06666666666667,1.35333333333333,42,equal
2.06666666666667,1.38285714285714,46,equal
2.06666666666667,1.45444444444444,37,equal
2.2,1.45111111111111,36,equal
1.93333333333333,1.36111111111111,49,equal
2.33333333333333,1.60444444444444,32,equal
2.2,1.40444444444444,41,equal
2.33333333333333,1.48333333333333,41,equal
2.13333333333333,1.38777777777778,43,equal
2,1.30111111111111,47,equal
2,1.31666666666667,49,equal
2.2,1.39063492063492,42,equal
2.13333333333333,1.47,35,equal
2.06666666666667,1.38666666666667,44,equal
2.2,1.44555555555556,39,equal
2.33333333333333,1.49333333333333,37,equal
2.13333333333333,1.40222222222222,40,equal
2.26666666666667,1.39,41,equal
2,1.31,49,equal
2.26666666666667,1.45777777777778,42,equal
2.26666666666667,1.43777777777778,39,equal
2,1.41666666666667,43,equal
2,1.38555555555556,45,equal
2.2,1.41888888888889,40,equal
2.2,1.40888888888889,43,equal
2.06666666666667,1.39333333333333,40,equal
2,1.42555555555556,37,equal
2.13333333333333,1.46,42,equal
1.93333333333333,1.27777777777778,53,equal
2,1.45555555555556,35,equal
2.2,1.46444444444444,36,equal
2.2,1.44888888888889,39,equal
2.26666666666667,1.56,30,equal
2.13333333333333,1.33888888888889,45,equal
2.13333333333333,1.35888888888889,46,equal
2.13333333333333,1.43777777777778,40,equal
2.26666666666667,1.40222222222222,44,equal
2.13333333333333,1.39666666666667,43,equal
2,1.26666666666667,51,equal
2.06666666666667,1.41222222222222,41,equal
2.06666666666667,1.33888888888889,44,equal
2.2,1.34,52,equal
2,1.40444444444444,40,equal
2.13333333333333,1.44444444444444,37,equal
2,1.31777777777778,47,equal
2.06666666666667,1.37666666666667,46,equal
2.06666666666667,1.33111111111111,44,equal
2.06666666666667,1.33333333333333,50,equal
1.86666666666667,1.34666666666667,46,equal
2.06666666666667,1.45222222222222,38,equal
2.06666666666667,1.40888888888889,42,equal
2.26666666666667,1.49444444444444,37,equal
2,1.35,44,equal
2.2,1.37111111111111,45,equal
2.26666666666667,1.51888888888889,31,equal
2,1.31888888888889,48,equal
2.2,1.44333333333333,40,equal
2.06666666666667,1.46666666666667,38,equal
2.4,1.47063492063492,46,equal
2.26666666666667,1.48888888888889,38,equal
2.33333333333333,1.39666666666667,47,equal
2.2,1.34666666666667,46,equal
1.73333333333333,1.21888888888889,56,equal
2,1.44555555555556,39,equal
2.46666666666667,1.54222222222222,35,equal
2,1.32333333333333,45,equal
2.2,1.41285714285714,43,equal
2.46666666666667,1.48777777777778,38,equal
2.53333333333333,1.49111111111111,39,equal
2,1.38,43,equal
2,1.28555555555556,51,equal
1.86666666666667,1.27222222222222,51,equal
2,1.31666666666667,46,equal
2.26666666666667,1.40507936507937,46,equal
2.26666666666667,1.58444444444444,28,equal
2.06666666666667,1.36730158730159,48,equal
2.13333333333333,1.38777777777778,43,equal
2,1.35333333333333,46,equal
2.06666666666667,1.37666666666667,42,equal
2.06666666666667,1.42333333333333,43,equal
1.93333333333333,1.37111111111111,45,equal
2.2,1.47222222222222,37,equal
1.93333333333333,1.30777777777778,47,equal
2.13333333333333,1.38888888888889,41,equal
1.93333333333333,1.40333333333333,40,equal
2.13333333333333,1.34555555555556,46,equal
2.06666666666667,1.41666666666667,43,equal
2.06666666666667,1.40888888888889,39,equal
2.13333333333333,1.36222222222222,43,equal
2.13333333333333,1.40444444444444,46,equal
2.06666666666667,1.53888888888889,34,equal
1.93333333333333,1.31222222222222,47,equal
2.13333333333333,1.41333333333333,37,equal
2.26666666666667,1.42,46,equal
2.4,1.52555555555556,47,equal
2.06666666666667,1.33666666666667,47,equal
2.4,1.43777777777778,41,equal
2.06666666666667,1.30111111111111,52,equal
2,1.44444444444444,39,equal
2.06666666666667,1.35555555555556,44,equal
2.13333333333333,1.43444444444444,43,equal
2,1.32888888888889,47,equal
2.2,1.40555555555556,40,equal
1.93333333333333,1.37952380952381,43,equal
2,1.43,39,equal
2.13333333333333,1.37444444444444,41,equal
2.13333333333333,1.42666666666667,38,equal
2.26666666666667,1.43555555555556,47,equal
2.2,1.30777777777778,54,equal
2.26666666666667,1.41666666666667,41,equal
2.06666666666667,1.39,49,equal
2.06666666666667,1.34333333333333,44,equal
2.2,1.43666666666667,44,equal
2.06666666666667,1.31,48,equal
2,1.32666666666667,46,equal
2.2,1.36222222222222,44,equal
2.26666666666667,1.53111111111111,35,equal
2.06666666666667,1.37777777777778,45,equal
2.4,1.48444444444444,39,equal
2.2,1.44730158730159,43,equal
2.06666666666667,1.30507936507937,48,equal
2.13333333333333,1.38888888888889,44,equal
1.86666666666667,1.33333333333333,51,equal
2.26666666666667,1.47444444444444,37,equal
2.4,1.41,46,equal
2,1.33730158730159,49,equal
1.93333333333333,1.4,43,equal
1.93333333333333,1.39,42,equal
2.13333333333333,1.34444444444444,45,equal
2.26666666666667,1.34222222222222,51,equal
2.33333333333333,1.45,43,equal
2.13333333333333,1.38333333333333,48,equal
2.26666666666667,1.41111111111111,43,equal
1.93333333333333,1.27063492063492,52,equal
2,1.31333333333333,49,equal
2,1.33555555555556,43,equal
2.2,1.43666666666667,44,equal
2.13333333333333,1.44777777777778,42,equal
2.13333333333333,1.39333333333333,42,equal
2.2,1.38111111111111,45,equal
2,1.35888888888889,44,equal
