Experiment_ID,Choice_1,Choice_0,Feed_Date,Trial_Date,Food_Deprivation_Length,Animal,Arena_Position,Choice,Acclimation,area_chosen,area_other,berghia_length,track_intersection,path_sense_beh,radius_chosen,radius_other,rel_radius_chosen,rel_radius_other,rel_size_diff,size_diff,latency_2_choose
SG07021 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/24/2021,7/1/2021,7,17,A1,1,asw+anemone,0.137,0.423,0.678,,,0.208826374,0.366940161,0.308003501,0.541209677,-0.233206176,-0.158113787,180
SG07021 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/24/2021,7/1/2021,7,18,B1,1,asw+anemone,0.092,0.229,0.539,,,0.171127174,0.26998697,0.317490118,0.500903469,-0.183413351,-0.098859796,240
SG07021 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/24/2021,7/1/2021,7,19,C1,1,asw+anemone,0.078,0.088,0.408,,,0.157569575,0.167365677,0.38619994,0.410209994,-0.024010054,-0.009796102,360
SG07021 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/24/2021,7/1/2021,7,20,A2,0,asw+anemone,0.286,0.148,0.678,,,0.301722766,0.217048066,0.445018829,0.320129892,0.124888937,0.084674699,120
SG07021 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/24/2021,7/1/2021,7,21,B2,0,asw+anemone,0.127,0.13,0.649,,,0.201060577,0.203421447,0.309800581,0.313438285,-0.003637705,-0.00236087,0
SG07021 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/24/2021,7/1/2021,7,22,C2,0,asw+anemone,0.181,0.272,0.619,,,0.240029351,0.294245287,0.387769549,0.475355876,-0.087586326,-0.054215936,120
SG070621 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/29/2021,7/6/2021,7,23,A1,0,asw+anemone,0.148,0.238,0.723,,,0.217048066,0.275241263,0.300204795,0.38069331,-0.080488515,-0.058193197,120
SG070621 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/29/2021,7/6/2021,7,24,B1,0,asw+anemone,0.12,0.202,0.697,,,0.195441005,0.25357168,0.280403163,0.363804419,-0.083401256,-0.058130675,120
SG070621 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/29/2021,7/6/2021,7,25,C1,1,asw+anemone,0.203,0.232,0.846,,,0.254198558,0.271749689,0.300471109,0.321217127,-0.020746018,-0.017551131,120
SG070621 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/29/2021,7/6/2021,7,26,A2,0,asw+anemone,0.259,0.113,0.654,,,0.287127603,0.189654995,0.439033032,0.289992347,0.149040685,0.097472608,120
