Experiment_ID,Choice,Choice_1,Food_Deprivation_Length,Acclimation,latency_2_choose
SG100521_Injuredslimetrail_vs_Intact,0,Munched_Anemone+Slime_Trail,7,asw+anemone,660
SG100521_Injuredslimetrail_vs_Intact,1,Munched_Anemone+Slime_Trail,7,asw+anemone,780
SG100521_Injuredslimetrail_vs_Intact,0,Munched_Anemone+Slime_Trail,7,asw+anemone,300
SG100521_Injuredslimetrail_vs_Intact,0,Munched_Anemone+Slime_Trail,7,asw+anemone,660
SG100521_Injuredslimetrail_vs_Intact,0,Munched_Anemone+Slime_Trail,7,asw+anemone,540
SG100721_Injuredslimetrail_vs_intact,0,Feeding_Conspecific+Slime_Trail,7,asw+anemone,420
SG100721_Injuredslimetrail_vs_intact,0,Feeding_Conspecific+Slime_Trail,7,asw+anemone,420
SG100721_Injuredslimetrail_vs_intact,1,Feeding_Conspecific+Slime_Trail,7,asw+anemone,480
SG100721_Injuredslimetrail_vs_intact,0,Feeding_Conspecific+Slime_Trail,7,asw+anemone,840
SG100721_Injuredslimetrail_vs_intact,1,Feeding_Conspecific+Slime_Trail,7,asw+anemone,840
SG100721_Injuredslimetrail_vs_intact,1,Feeding_Conspecific+Slime_Trail,7,asw+anemone,600
